name,category,phone,address,location,rating,review_count,website,place_id
K.B. Painting&Decorating,painter decorator,07552 563007,"90 Circular Rd, Newtownards BT23 4BW, UK","Bangor, Northern Ireland",5,11,https://www.facebook.com/KB-PaintingDecorating-109900454264447,ChIJ80pcvyp1YUgRaExpgiE64ww
Ashview Dog Grooming,dog groomer,07473 229760,"25 Lisbarnet Rd, Lisbane, Newtownards BT23 6AW, UK","Newtownards, Northern Ireland",5,11,https://www.facebook.com/ashviewdoggrooming,ChIJlWGMoFFzYUgRKvKILMieqfo
Kings Dog Groomers,dog groomer,07903 868733,"239 Falls Rd, Belfast BT12 6FB, UK","Belfast, Northern Ireland",5,10,https://www.facebook.com/profile.php?id=61559805326332,ChIJoTxl7gIJYUgREwQDRK0Q558
Dog Gone Walking NI,pet sitting,07597 373746,"Inverwood Gardens, Belfast BT4 1RG, UK","East Belfast, Northern Ireland",4.6,10,,ChIJWaj8b4YJYUgRZ2KK9KmK_ss
Lisburn Photography Studio,wedding photographer,07933 628585,"63 Bachelors Walk, Lisburn BT28 1XN, UK","Lisburn, Northern Ireland",5,10,,ChIJdQH7LMkFYUgRb-uD8U1NAHc
Advanced Tiling & Bathroom Refurbs,tiling contractor,07763 652706,"18 Cuttles Ct, Comber, Newtownards BT23 5YR, UK","Bangor, Northern Ireland",5,10,,ChIJOQFyCbsMYUgRAQYY5LrwVP8
The Beauty Spot By Michelle,mobile beauty therapist,07979 930652,"1 Dairy hall lane, Newtownards, Bt23 4db, Newtownards BT23 4AE, UK","Newtownards, Northern Ireland",4.9,10,,ChIJfTQI8u90YUgROsoyYczkaIg
Donna's Paw Parade,pet sitting,07900 691957,"19 Ringhaddy Park, Newtownards BT23 8XQ, UK","Newtownards, Northern Ireland",5,10,https://www.facebook.com/donnaspawparade,ChIJqWNPL8F1YUgRIQi37buRnXA
Big 4 Garden Maintenance,gardening service,07849 737430,"30 Blenheim Dr, Newtownards BT23 4RA, UK","Newtownards, Northern Ireland",4.6,10,,ChIJNw8Nn5Z0YUgRwiTj7vHp44c
Paws in Safe Hands.,pet sitting,07540 746840,"90 Broomhill Park, Coleraine BT51 3AN, UK","North Belfast, Northern Ireland",5,9,,ChIJ3_On05w7YEgRIh3RXOgF9S4
Mcdog's Play Centre Lisburn,pet sitting,07379 145201,"47 Waterloo Rd, Lisburn BT27 5NW, UK","Lisburn, Northern Ireland",5,9,,ChIJS2xInBsFYUgR2ANUp_uW4mY
Welcome Thai message,mobile massage therapist,07922 797794,"McKeown St, Lisburn BT28 1BD, UK","Lisburn, Northern Ireland",4.4,9,,ChIJJR25PDIFYUgROgzsTitHpP0
Ya Filthy Animals Bangor,dog groomer,07359 327196,"Unit 29, 8 Balloo Dr, Bangor BT19 7QY, UK","Bangor, Northern Ireland",5,9,https://www.facebook.com/Yafilthyanimalbangor/,ChIJF6v9lrJ1YUgRapbRPHtMRLY
Wellness Clinic,mobile massage therapist,07763 742014,"4 Henalta Wood, Bangor BT19 1FQ, UK","Bangor, Northern Ireland",5,9,,ChIJbZglZkh1YUgRFK_ezk4LLkk
Nuba Wax - Car Wax Products Northern Ireland,car detailing,07773 817115,"6 Clifton Mnr, Bangor BT20 5DZ, UK","Bangor, Northern Ireland",5,9,,ChIJ1_mAMPafYUgR1Ox-n1B6Wes
Kennedy tiling,tiling contractor,07886 793650,"17 Fernbank Rd, Bangor BT19 6GA, UK","Bangor, Northern Ireland",5,9,,ChIJiQKkofR1YUgR3zNBL5Ike38
Beautybysiobhan,mobile beauty therapist,07814 380201,"18 South Street Access, via, car park, South St, Newtownards BT23 4JT, UK","Newtownards, Northern Ireland",5,9,,ChIJ0wZpXkl1YUgRtR1ctJYCC_o
The Paw Wash,dog groomer,07596 590218,"2 Mill St, Newtownards BT23 4LU, UK","Newtownards, Northern Ireland",5,9,,ChIJwRkjMpF1YUgR5kniVKlDO6Y
MA Lawns And Landscaping,gardening service,07583 696780,"47 River Hill Ln, Newtownards BT23 7GQ, UK","Newtownards, Northern Ireland",5,9,https://m.facebook.com/MA-Lawns-Landscaping-1628178567411955/,ChIJQTsHA-93YUgRVtW4axCcUN0
Elite Personal Training Studio,personal trainer,07921 908303,"Unit 22, 308 Albertbridge Rd, Belfast BT5 4GX, UK","East Belfast, Northern Ireland",4.6,8,https://www.facebook.com/ElitePTstudioBelfast/,ChIJASnZgwoJYUgRlAMfzFPIVV4
Massage Therapy-Gosia,mobile massage therapist,07463 439944,"11 Glenbryn Park, Belfast BT14 7JG, UK","West Belfast, Northern Ireland",5,8,,ChIJa5l231YJYUgR0hGLuUwLgV8
Shine Mobile Valeting,mobile car wash,07983 226227,"3 Ballywillin Cres, Portrush BT56 8GJ, UK","North Belfast, Northern Ireland",4.9,8,,ChIJ-VwML7clYEgRNbEXuZO2z4g
Hidden Beauty,mobile beauty therapist,07714 536918,"Unit 224 Enterprise Cres, Lisburn BT28 2BP, UK","Lisburn, Northern Ireland",5,8,,ChIJvwJ3JIgDYUgRX3sGt65doAY
Stonebridge Painting and Decorating,painter decorator,07967 087534,"3 Stonebridge Ct, Stonyford, Lisburn BT28 3EL, UK","Lisburn, Northern Ireland",5,8,,ChIJV39otLIBYUgRYY0Fly6_NuM
Bonnie B's Cattery,pet sitting,07834 556254,"16 Cranley Dr, Bangor BT19 7BZ, UK","Bangor, Northern Ireland",5,8,,ChIJdWCZMfx1YUgROANh9DzTZE4
Jacobs House Dog Home Boarding Kennels Ards Peninsula Northern Ireland,pet sitting,07557 580777,"10 Hillside, Portavogie, Newtownards BT22 1EZ, UK","Bangor, Northern Ireland",5,8,,ChIJNTKxyqRlYUgRLZNsCH1dBAI
Precision Details,mobile car wash,07403 766743,"8 Ensbury Dr, Bangor BT19 6UF, UK","Bangor, Northern Ireland",5,8,http://www.facebook.com/precisiondetailsni,ChIJR4FHAo4TYUgRsWQtZyUFCNI
The Beauty Studio,mobile beauty therapist,07361 253721,"29 Church Rd, Holywood BT18 9BU, UK","Holywood, Northern Ireland",5,8,,ChIJ2WPpkXYKYUgRMxpOnBcbqTQ
lauren pinkney health & fitness ltd,personal trainer,07402 953082,"Unit C6, Park, Strangford House, Jubilee Rd, Newtownards BT23 4YH, UK","Newtownards, Northern Ireland",4.8,8,https://m.facebook.com/laurenpinkneyhealthandfitness/?ref=bookmarks,ChIJwQN80Xl1YUgRYDm90if0Aa0
Learn to drive with Craig,driving instructor,07740 192927,"Lisbane Dr, Newtownards BT23 4PY, UK","Newtownards, Northern Ireland",5,8,,ChIJw-HIeN11YUgR3iwQMFS9O44
Gibsons Grooms (Mobile Dog Groomer),mobile dog grooming,07858 304615,"202 Moira Rd, Lisburn BT28 2SN, UK","Belfast, Northern Ireland",4.7,7,,ChIJAQDRpYQDYUgRQu2ru8KbOGc
Kitty Sitter NI,pet sitting,07808 522431,"Crumlin Rd, Belfast BT14 7EE, UK","Belfast, Northern Ireland",5,7,,ChIJZQFHGiEJYUgRj6C__cEkIj0
Antrim Pet Services,pet sitting,07525 182003,"40 Kilgavanagh Rd, Antrim BT41 2LJ, UK","Belfast, Northern Ireland",5,7,https://www.facebook.com/profile.php?id=61553846786249,ChIJ3QUi-sutYUgRtbKgPNOJ5eE
KeenCut Gardens,gardening service,07365 958989,"Glendarragh, Belfast BT4 2WB, UK","Belfast, Northern Ireland",5,7,https://www.facebook.com/profile.php?id=61555637921177,ChIJ_QgifC8LYUgRj_ua-MNO_I8
Acorn wood services,tree surgeon,07849 965593,"Millreagh Grv, Belfast BT16 1AH, UK","Belfast, Northern Ireland",5,7,,ChIJ8wwgCDcLYUgRAsJy2QaflUg
Belfast Car Mechanic & Breakdown Recovery,mobile mechanic,07955 977616,"Unit 2, 10 Hydepark Rd, Newtownabbey BT36 4PY, UK","Belfast, Northern Ireland",5,7,,ChIJH6SbhACpYUgRZZp0EfVWh4U
Emc Autos Mobile Mechanic,mobile mechanic,07871 717678,"80A Culmore Rd, Londonderry BT48 8JB, UK","Belfast, Northern Ireland",5,7,,ChIJWUNOnZ7jX0gRtOFCSAhsD4w
Auto Electric Services,mobile mechanic,07964 018331,"8 My Ladys Rd, Belfast BT6 8FB, UK","East Belfast, Northern Ireland",4.1,7,,ChIJWTFDpgYJYUgRwSKcPdKJ4NI
Poppy's Pawsome Pups Dog Groomers Lisburn,dog groomer,07900 353002,"12 Bridge St, Lisburn BT28 1XZ, UK","Lisburn, Northern Ireland",5,7,,ChIJ2-ImHEsFYUgR5O1LrelxoTA
Premier detailing ni,mobile car wash,07734 791302,"25 Hillhall Rd, Lisburn BT27 5BX, UK","Lisburn, Northern Ireland",3.9,7,,ChIJnW6hXhgvYUgR1y4COFzh074
Helen's Bay Dog Grooming,dog groomer,07729 038420,"10 Coastguard Ave, Helen's Bay, Bangor BT19 1JY, UK","Bangor, Northern Ireland",4,7,https://www.facebook.com/profile.php?id=100088455851530&mibextid=LQQJ4d,ChIJ-eJmnrCfYUgRrbsDaUPrugI
Bayview Mobile Caravan Cleaning,mobile car wash,07454 908365,"1 Cove Ln, Groomsport, Bangor BT19 6HU, UK","Bangor, Northern Ireland",5,7,,ChIJA1gzUbWdYUgRaJ1j3eLXGGA
Vivid External Cleaning Services,cleaning service,07584 949582,"71 Green Rd, Bangor BT19 7QA, UK","Bangor, Northern Ireland",5,7,,ChIJCWIhkyh1YUgRTHg6UNeRNE0
Little Mama Health & Beauty,mobile beauty therapist,07539 722035,"Suite 5, Regent House, 35 Regent St, Newtownards BT23 4AD, UK","Newtownards, Northern Ireland",4.7,7,http://facebook.com/littlemamahealthbeauty,ChIJVY3YhXh1YUgR2RRW9bjDhbo
Limitless Fitness,personal trainer,07340 797233,"Unit 5, The Precinct, South St, Newtownards BT23 4JT, UK","Newtownards, Northern Ireland",5,7,,ChIJ_WY8qx91YUgRMxpXrqmkdaQ
Momentum Health & Fitness,personal trainer,07902 933656,"35 Hawthorn Hill, Newtownards BT23 8ET, UK","Newtownards, Northern Ireland",5,7,,ChIJccJwFI11YUgRGwFW3j0ebNE
C M D Ground & Tree Services,tree surgeon,07715 116010,"42 Cloughey Rd, Portaferry, Newtownards BT22 1NQ, UK","Newtownards, Northern Ireland",4.6,7,,ChIJZSvJAippYUgRQAvrVs5n0do
Dolores McCormick Registered Childminder,chilminder,07933 603285,"49 Strangford Rd, Downpatrick BT30 6SL, UK","Belfast, Northern Ireland",5,6,,ChIJ1UbmDpUVYUgRg6ew0Pun9dw
lambeg dog walkers,pet sitting,07748 247675,"Seymour St, Lisburn BT27 4XF, UK","Lisburn, Northern Ireland",5,6,https://www.facebook.com/dogwalkerslambeg/,ChIJ-wmwlTkEYUgRSa5wyfiEDj0
Mrs B’s Precious Paws Pet Sitting and Cattery,pet sitting,07796 786731,"15 Aghnacarra Rd, Lisbellaw, Enniskillen BT94 5HX, UK","Lisburn, Northern Ireland",5,6,,ChIJzyHME1I_XkgRQkVRSdHZvOA
Emerald Autocare,mobile car wash,07507 712017,"Blaris Rd, Lisburn BT27 5RA, UK","Lisburn, Northern Ireland",5,6,https://www.facebook.com/EmeraldAutocare.Detailing/,ChIJ2zZKeJ4EVg4RSnd1eKcskL8
Lisburn Cabs Company,taxi service,07779 559595,"Lisburn BT28 2RH, UK","Lisburn, Northern Ireland",4.8,6,https://m.facebook.com/people/Lisburn-Cabs-Company/61553837923292/?locale=en_GB,ChIJRQJAEAAFYUgRZOFuNnH-l7M
PuppyLove dog grooming NI,dog groomer,07522 931674,"28 Central Ave, Bangor BT20 3AF, UK","Bangor, Northern Ireland",5,6,,ChIJZZh3vzl3YUgRTyXft_sdfpk
Elite pet styling,dog groomer,07565 480438,"24 Brook Ln, Bangor BT19 1ST, UK","Bangor, Northern Ireland",4.7,6,,ChIJVQBGAJR1YUgR16EFfF0CL3M
Relight - Mind & Body,personal trainer,07725 356675,"Main St, Bangor BT20 4HD, UK","Bangor, Northern Ireland",5,6,,ChIJmXOV8gidYUgRcLvFdvrLMfE
JB Photography Online,event photographer,07925 294815,"8 Rock Hill, Donaghadee, Bangor BT21 0FB, UK","Bangor, Northern Ireland",4.8,6,,ChIJ_W86GpWdYUgRlVypEDkAx0A
GroundsMen Garden & Fencing Services,gardening service,07851 047614,"33 Ballyhalbert Gardens, Bangor BT19 1SE, UK","Bangor, Northern Ireland",5,6,,ChIJ_a3hEo74gKgR1rQsfLzTe2M
C.P. Tree Services,tree surgeon,07889 359754,"Victoria Rd, Bangor BT20 5EX, UK","Bangor, Northern Ireland",5,6,,ChIJO35XfKyfYUgRbsh9HUe8wwQ
Áine McMenamin Piano and Cello Tuition,music teacher,07845 836846,"7 Stonebridge Square, Conlig, Bangor, Newtownards BT23 7QU, UK","Bangor, Northern Ireland",5,6,,ChIJHY5M382fYUgRwFBpDq88DEA
RGS Drive Safe,driving instructor,07850 552626,"Sinclair Dell, Bangor BT19 1ED, UK","Bangor, Northern Ireland",5,6,,ChIJZX1Xj1CfYUgRq9QPkHCIU8E
ABFAB Painters And Decorators,painter decorator,07808 540732,"12 Devon Dr, Sydenham, Belfast BT4 1LF, UK","Holywood, Northern Ireland",4,6,,ChIJC4LzA5wJYUgR2vDTLfJDQAk
Pawz 4 Fun,pet sitting,07885 499863,"25 Springmount Rd, Ballygowan, Newtownards BT23 6NF, UK","Newtownards, Northern Ireland",4.3,6,,ChIJc-iEKMoNYUgReS9h3O-5qNE
Your Style Spraying Solutions,painter decorator,07904 976189,"9 Movilla Mews, Newtownards BT23 8WN, UK","Newtownards, Northern Ireland",5,6,,ChIJ3VxmK3N1YUgRhNxH1U-rVng
Jet n Vac cleaning services,cleaning service,07817 284844,"Cairndore Way, Newtownards BT23 8PB, UK","Newtownards, Northern Ireland",5,6,,ChIJB8PwT2B1YUgRS6qXxYYcKg8
Nina’s Notes,music teacher,07783 127025,"1 Whiterock Rd, Killinchy, Newtownards BT23 6PR, UK","Newtownards, Northern Ireland",5,6,https://www.facebook.com/share/1V2XwVj6gd/?mibextid=wwXIfr,ChIJm7NdfLltYUgR3LJtutXiGFs
Power Pups Grooming,mobile dog grooming,07948 091017,"174G Lenadoon Ave, Belfast BT11 9HF, UK","Belfast, Northern Ireland",5,5,,ChIJ66RFndcHYUgReN2BBVhOJpk
Greenfingers Gardening Services,gardening service,07878 761896,"42 Mount Eagles Square, Dunmurry, Belfast BT17 0GZ, UK","Belfast, Northern Ireland",4.8,5,,ChIJnb0UopsGYUgRrbDY-tNCPmc
Nanny B's Childminding,chilminder,07739 404549,"155 Horn Dr, Belfast BT11 9NF, UK","Belfast, Northern Ireland",5,5,,ChIJF9WNsgwHYUgR64LeifBn9Iw
Tim The Mobile Barber,mobile hairdresser,07921 354588,"04 Ardvanagh Park, Bangor, Newtownards BT23 7XG, UK","East Belfast, Northern Ireland",5,5,,ChIJqzhTLzF1YUgRIxN4g4dpEzM
The Bakery,baker,07352 961228,"105 Alliance Ave, Belfast BT14 7NT, UK","West Belfast, Northern Ireland",5,5,,ChIJe8mtfKkJYUgRuAV1Amp-to4
Soanna Beauty,mobile beauty therapist,07766 074157,"511 Upper Newtownards Rd, Belfast BT4 3LL, UK","South Belfast, Northern Ireland",5,5,http://www.facebook.com/soannabeauty,ChIJU9k3gR8JYUgRKTp4NTPV4yI
Suds & Snips,dog groomer,07741 572050,"91 Park Ave, Belfast BT4 1JJ, UK","South Belfast, Northern Ireland",5,5,,ChIJG9goavcJYUgRjC2pas_eqyU
Magee Landscapes & Garden Maintenance,gardening service,07557 298592,"9B Ballyvannon Rd, Upper Ballinderry, Lisburn BT28 2LD, UK","Lisburn, Northern Ireland",5,5,,ChIJ103w_lT-YEgRW15FARDlG5w
Crumbs,mobile catering,07784 412886,"Lisburn BT28 1RT, UK","Lisburn, Northern Ireland",4.2,5,,ChIJf9JHOYcDYUgRgAQnwvPJp0o
Blankets & Bones,pet sitting,07747 842221,"46 Cleland Park N, Bangor BT20 3EN, UK","Bangor, Northern Ireland",4.8,5,,ChIJ7eJXaK11YUgR2WQ4zKfYJrk
Garden worx,gardening service,07719 767129,"20 Woodford Grange, Bangor BT19 6ZA, UK","Bangor, Northern Ireland",5,5,,ChIJf_GW7gZ2YUgRoOShG3X-fBw
Easy Lay Tiling,tiling contractor,07974 692490,"39 Whitethorn Dr, Newtownards BT23 8WS, UK","Bangor, Northern Ireland",5,5,,ChIJVyXciER0YUgRYYBq3q6MO_o
54 Degrees North Landscape Photography,freelance photographer,07892 899961,"73 St George's Market, 69 Oxford St, Belfast BT1 3LA, UK","Holywood, Northern Ireland",5,5,,ChIJQZwwm_8IYUgRXGIdtFVZrXc
The Beauty Rooms,mobile beauty therapist,07813 984835,"300 Bangor Rd, Newtownards BT23 7PH, UK","Newtownards, Northern Ireland",5,5,,ChIJ-1NZvq91YUgRGjUXA_9gs6E
Debut Drive,driving instructor,07834 468641,"7 Benford Dr, Newtownards BT23 8TH, UK","Newtownards, Northern Ireland",5,5,,ChIJyaG4rEh0YUgRcVNAVXhbU3U
Drakes Landscaping & Handyman Services,handyman,07707 321794,"Moyle Walk, Belfast BT8 7ER, UK","Belfast, Northern Ireland",5,4,https://www.facebook.com/Drakes-Landscaping-Handyman-Services-101475905339596,ChIJ7eZME-MPYUgRPSgr9lrw6hU
Ivanhoe Painters & Decorators,painter decorator,07719 324897,"560 Saintfield Rd, Belfast BT8 8BL, UK","Belfast, Northern Ireland",5,4,,ChIJRS2-plAPYUgR9CuFlQnlEZM
LK Tiling,tiling contractor,07779 091376,"73 Carlane Rd, Randalstown, Antrim BT41 3LY, UK","Belfast, Northern Ireland",5,4,,ChIJ1xc5DitRYEgRFNF_n0-HqMg
Midnight Cakes,wedding cake maker,07872 427237,"50 Ravenhill Ave, Belfast BT6 8LG, UK","Belfast, Northern Ireland",5,4,,ChIJFRuMad0JYUgRltH6x2-s2BE
AOT Autocare,car detailing,07909 962267,"24 Annadale Ter, Belfast BT7 3DH, UK","West Belfast, Northern Ireland",4.5,4,,ChIJs1giCvQJYUgRv-YS9cB1v9E
Ards Handyman Services,handyman,07766 004100,"A20, Comber, Newtownards BT23 5AZ, UK","South Belfast, Northern Ireland",4,4,,ChIJGXHp8EB1YUgRMX1GOvWB5Nc
allFIT,personal trainer,07545 004196,"Unit 37, Enterprise Organisation, Lisburn BT28 2BP, UK","Lisburn, Northern Ireland",5,4,https://www.facebook.com/allfitni/,ChIJHbsrNNMDYUgRLJvEuJEcVqw
Paddywhacks Groom Room,dog groomer,07843 806373,"Pod 4, 19 Enterprise Rd, Bangor BT19 7TA, UK","Bangor, Northern Ireland",5,4,,ChIJ7RgR1Jx1YUgRdx1NrN0H170
Eat Fit NI,personal trainer,07598 725818,"95a Victoria Rd, Bangor BT20 5ER, UK","Bangor, Northern Ireland",5,4,,ChIJZ_XsofifYUgRev50T7SX7Bw
MMB Catering,mobile catering,07746 419272,"21 Carnony Rd, Omagh BT79 7TF, UK","Bangor, Northern Ireland",5,4,,ChIJF9BAsEjTX0gR7fG13BEYZDc
C.A.M Cleaning Solutions,cleaning service,07485 416197,"210 High St, Bangor LL57 1NY, UK","Bangor, Northern Ireland",5,4,https://www.facebook.com/cerimetcalfe/,ChIJCQs5IiwHZUgRdmx_7qSt1K0
Prestige Car Valeting & Detailing,mobile car wash,07734 231374,"8 Redburn Square, Holywood BT18 9JF, UK","Holywood, Northern Ireland",4.8,4,,ChIJn8xnV3QKYUgRiLQd1zX_b4U
DogFace Grooming,dog groomer,07542 927085,"9 Bridge St, Comber, Newtownards BT23 5AT, UK","Newtownards, Northern Ireland",4.8,4,,ChIJM6uteq8NYUgRnXGvix8B5lQ
Great Tails,pet sitting,07707 355087,"Manse Rd, Glastry, Newtownards BT22 1DR, UK","Newtownards, Northern Ireland",5,4,https://www.facebook.com/GreatTailsGlastry/,ChIJtZtTY3lvYUgRB3Wu9Ur_PxU
Philippa Whitham Complementary Therapist (Speaclist in integrative holistic therapy for cancer and palliative care patients),mobile massage therapist,07379 289242,"4 Abbey Mews, Newtownards BT23 8FA, UK","Newtownards, Northern Ireland",5,4,,ChIJXePCFLN1YUgRqq-MHP_xxjk
CB Detailing & Valet,car detailing,07568 536486,"4 Strangford Heights, Newtownards BT23 8ND, UK","Newtownards, Northern Ireland",5,4,,ChIJVXnvNoJ1YUgRKDvagW-1JNA
Care Cabs,taxi service,07496 363657,"5 Gibsons Ln, Newtownards BT23 4LJ, UK","Newtownards, Northern Ireland",4,4,,ChIJNyGbNfB0YUgR8s1hgFW8oO8
FAREWAYS TAXIS,taxi service,07766 708280,"14 Quinton Park, Newtownards BT23 4PR, UK","Newtownards, Northern Ireland",5,4,,ChIJU5-SOF51YUgRzQU5c9sOeXE
purple taxi,taxi service,07922 582419,"1A Blackabbey Rd, Greyabbey, Newtownards BT22 2RH, UK","Newtownards, Northern Ireland",5,4,,ChIJh7w3E4hwYUgR_isOwHSCXmw
Alastair Smyth Driving Instructor,driving instructor,07711 145110,"52 Lawnbrook Dr, Newtownards BT23 8XD, UK","Newtownards, Northern Ireland",5,4,https://www.facebook.com/alastair.smyth.12,ChIJO1G0wV91YUgRP0DT7lmTA1g
Kerry's Mobile Dog Grooming,mobile dog grooming,07989 793462,"10 Avonmere, Craigavon BT64 1AN, UK","Belfast, Northern Ireland",5,3,,ChIJqbody-wcYUgRqsJRXInnGjQ
Mojo's Mobile Dog Grooming,mobile dog grooming,07748 464850,"Ballyphilip Rd, Portaferry, Newtownards BT22 1RD, UK","Belfast, Northern Ireland",5,3,,ChIJ5y_ECXdpYUgRHPcN0jwY2eA
Four seasons landscaping N.I,landscaping,07732 341215,"21 Springfield Meadows, Belfast BT13 3QS, UK","Belfast, Northern Ireland",5,3,,ChIJN5omRXkIYUgR5oc3_OWjOjQ
GH Tiling,tiling contractor,07837 893981,"54 Roddens Cres, Belfast BT5 7JP, UK","Belfast, Northern Ireland",5,3,,ChIJBxZ4qWcJYUgRT7E8i4Uq4dA
Maple Tree Childminding,chilminder,07879 265501,"26 Ashley Park, Armagh BT60 1EU, UK","Belfast, Northern Ireland",5,3,https://www.facebook.com/share/17KsTn4x8P/?mibextid=wwXIfr,ChIJIXYxde6VYEgR-q-v90y-LC0
Ideal decorators,painter decorator,07706 917665,"312 Springfield Rd, Belfast BT12 7DS, UK","East Belfast, Northern Ireland",3.7,3,,ChIJy5gR_sMJYUgRFiO6ZdfesiI
The car cleaning centre,mobile car wash,07841 508348,"219A Moira Rd, Lisburn BT28 2ST, UK","Lisburn, Northern Ireland",3.7,3,,ChIJt8CMXsgDYUgRaDABIlAsFfE
RJH Painting & Decorating,painter decorator,07738 830315,"31 Lagmore Grove, Dunmurry, Belfast BT17 0TD, UK","Lisburn, Northern Ireland",5,3,,ChIJgbfVwPQHYUgRglupEyORL9w
CDG Oven Cleaning,cleaning service,07512 136803,"81 Mornington Ave, Lisburn BT28 2WP, UK","Lisburn, Northern Ireland",5,3,,ChIJbZCfBYYDYUgRVoMulWyLCfo
Bump to birth NI,babysitting service,07809 313559,"11 Ayrshire Park, Lisburn BT28 2LT, UK","Lisburn, Northern Ireland",5,3,,ChIJA4mRjz05HosR96VXmAfK7iQ
Paul Beattie Guitar Lessons Aghalee,music teacher,07962 056409,"28 Beechfield Lodge, Aghalee, Lisburn BT67 0GA, UK","Lisburn, Northern Ireland",5,3,https://www.facebook.com/pbeattieguitar,ChIJi4bR-jr8YEgRJGfrUoN0edY
Mossgarden,gardening service,07803 772763,"2 Pinehill Ave, Bangor BT19 6NY, UK","Bangor, Northern Ireland",5,3,,ChIJbbE9_TILb0IRAxZPkGul-YE
K Ashton Landscaping and Tree Services,landscaping,07917 850304,"101 Penrhyn Ave, Bangor LL57 1LT, UK","Bangor, Northern Ireland",5,3,https://www.facebook.com/KieranAshton93/,ChIJ23o6S_0HZUgRsTm9-SBveT0
Jaime Marshall Hair,mobile hairdresser,07933 114766,"Solo hair, 129 High St, Holywood BT18 9LG, UK","Holywood, Northern Ireland",5,3,https://www.facebook.com/Jaime-marshall-hair-720366171376657/,ChIJQbgAMHQKYUgRtcO_VuqNDb8
Hairy Pawters,dog groomer,07761 610017,"102 Ballyregan Rd, Dundonald, Northern Ireland BT18, UK","Holywood, Northern Ireland",5,3,,ChIJlfXDvfcKYUgRi1cHC6bRbLI
Whitehouse Decor,painter decorator,07903 197365,"19 Graymount Rd, Newtownabbey BT36 7DR, UK","Holywood, Northern Ireland",5,3,,ChIJQYQA93unYUgR8bfG6VyvZn4
Hillside Garden Services,gardening service,07359 790114,"Main Rd, Portavogie, Newtownards BT22 1EL, UK","Newtownards, Northern Ireland",5,3,,ChIJkyxUYkLC_0IRMzCYJxHwGgA
Peter Dempster Tiling Services,tiling contractor,07835 508444,"Longlands Dr, Comber, Newtownards BT23 5AL, UK","Newtownards, Northern Ireland",5,3,,ChIJz-uf0WANYUgRKFvTFJSANek
AC Cleaning Services,cleaning service,07790 443417,"8A Loughdoo Rd, Ardkeen, Newtownards BT22 1HJ, UK","Newtownards, Northern Ireland",4.7,3,,ChIJGQBx7wNvYUgR78W5zMxZ5mQ
Your Image Nail & Beauty,mobile beauty therapist,07849 454163,"36 Knockbreda Rd, Belfast BT6 0JB, UK","Belfast, Northern Ireland",5,2,,ChIJSe47ESEJYUgRzrkEQ6ae_SY
BB EasyWay Flat pack assembly removals hadyman,handyman,07816 585707,"15 Leggagh Ct, Belfast BT14 8AY, UK","Belfast, Northern Ireland",5,2,,ChIJlWnbgIMJYUgRcFw_mvcCXWs
Brush Strokes,painter decorator,07974 355675,"Apartment 5.2, 62 Donegall Quay, Holywood, Belfast BT1 3NG, UK","Belfast, Northern Ireland",5,2,,ChIJgQlnbqEJYUgRkoWk2wxdSIY
SHM Tiling Services,tiling contractor,07835 603346,"76 Glenview Park, Newtownabbey BT37 0TG, UK","Belfast, Northern Ireland",5,2,https://www.facebook.com/profile.php?id=100095281965483&sk=about,ChIJ1Tef18uGHkYRYiOz7u_eLtE
Auto Check,MOT testing,07522 264111,"35 Juniper Rise, Dunmurry, Belfast BT17 0BG, UK","Belfast, Northern Ireland",4,2,,ChIJo5i8AH4GYUgRsXfJqzkOk4g
Claire Wilson Childminding,chilminder,07538 786531,"Weavers Ln, Craigavon BT66 7UE, UK","Belfast, Northern Ireland",5,2,https://www.facebook.com/Claire-Wilson-Childminding-104458747763835/,ChIJFy_vnMjlYEgRusZsMk3S9_8
The Handyman Service,handyman,07935 410491,"42 Main St, Maghera BT46 5AE, UK","North Belfast, Northern Ireland",5,2,,ChIJS7-2zWVFYEgRsUNSAf6nyxk
Nw mobile mechanic,mobile mechanic,07365 353921,"72 Dunderg Rd, Coleraine BT51 4NE, UK","North Belfast, Northern Ireland",3,2,,ChIJj_7nio09YEgRSe6iLc42oHw
JB AUTOSHINE NI,mobile car wash,07504 661803,"Lisburn BT27 4PA, UK","Lisburn, Northern Ireland",4.5,2,,ChIJR3eIOMQFYUgROG2RajbSCfQ
DM Painting & Decorating,painter decorator,07803 824328,"14 Castlevue Gardens, Moira, Craigavon BT67 0DU, UK","Lisburn, Northern Ireland",5,2,https://www.facebook.com/DM-Painting-Decorating-100996435274482,ChIJLXciis39YEgRsG2_0hIbvdY
Pawsome Grooms,dog groomer,07902 048933,"69 High Bangor Rd, Donaghadee BT21 0PW, UK","Bangor, Northern Ireland",5,2,,ChIJDZyT8GB3YUgRWKRmClcoI_g
The Pet Nannies,pet sitting,07880 678850,"Bangor BT20 4NW, UK","Bangor, Northern Ireland",5,2,,ChIJrSXO1QaeYUgRJZBEWc2mDBs
ScallyWaggs Dog Walking & Pet Sitting,pet sitting,07515 653226,"9 Quarry Ct, Helen's Bay, Bangor BT19 1TY, UK","Bangor, Northern Ireland",5,2,,ChIJgUKjSpWfYUgROJXRXiBDy5g
